iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths
USA,North America,United States,2019-12-31,0,0,0,0,0
USA,North America,United States,2020-01-01,0,0,0,0,0
USA,North America,United States,2020-01-02,0,0,0,0,0
USA,North America,United States,2020-01-03,0,0,0,0,0
USA,North America,United States,2020-01-04,0,0,0,0,0
USA,North America,United States,2020-01-05,0,0,0,0,0
USA,North America,United States,2020-01-06,0,0,0,0,0
USA,North America,United States,2020-01-07,0,0,0,0,0
USA,North America,United States,2020-01-08,0,0,0,0,0
USA,North America,United States,2020-01-09,0,0,0,0,0
USA,North America,United States,2020-01-10,0,0,0,0,0
USA,North America,United States,2020-01-11,0,0,0,0,0
USA,North America,United States,2020-01-12,0,0,0,0,0
USA,North America,United States,2020-01-13,0,0,0,0,0
USA,North America,United States,2020-01-14,0,0,0,0,0
USA,North America,United States,2020-01-15,0,0,0,0,0
USA,North America,United States,2020-01-16,0,0,0,0,0
USA,North America,United States,2020-01-17,0,0,0,0,0
USA,North America,United States,2020-01-18,0,0,0,0,0
USA,North America,United States,2020-01-19,0,0,0,0,0
USA,North America,United States,2020-01-20,0,0,0,0,0
USA,North America,United States,2020-01-21,1,1,0.143,0,0
USA,North America,United States,2020-01-22,1,0,0.143,0,0
USA,North America,United States,2020-01-23,1,0,0.143,0,0
USA,North America,United States,2020-01-24,1,0,0.143,0,0
USA,North America,United States,2020-01-25,2,1,0.286,0,0
USA,North America,United States,2020-01-26,2,0,0.286,0,0
USA,North America,United States,2020-01-27,5,3,0.714,0,0
USA,North America,United States,2020-01-28,5,0,0.571,0,0
USA,North America,United States,2020-01-29,5,0,0.571,0,0
USA,North America,United States,2020-01-30,5,0,0.571,0,0
USA,North America,United States,2020-01-31,6,1,0.714,0,0
USA,North America,United States,2020-02-01,7,1,0.714,0,0
USA,North America,United States,2020-02-02,8,1,0.857,0,0
USA,North America,United States,2020-02-03,11,3,0.857,0,0
USA,North America,United States,2020-02-04,11,0,0.857,0,0
USA,North America,United States,2020-02-05,11,0,0.857,0,0
USA,North America,United States,2020-02-06,12,1,1,0,0
USA,North America,United States,2020-02-07,12,0,0.857,0,0
USA,North America,United States,2020-02-08,12,0,0.714,0,0
USA,North America,United States,2020-02-09,12,0,0.571,0,0
USA,North America,United States,2020-02-10,12,0,0.143,0,0
USA,North America,United States,2020-02-11,13,1,0.286,0,0
USA,North America,United States,2020-02-12,13,0,0.286,0,0
USA,North America,United States,2020-02-13,14,1,0.286,0,0
USA,North America,United States,2020-02-14,15,1,0.429,0,0
USA,North America,United States,2020-02-15,15,0,0.429,0,0
USA,North America,United States,2020-02-16,15,0,0.429,0,0
USA,North America,United States,2020-02-17,15,0,0.429,0,0
USA,North America,United States,2020-02-18,15,0,0.286,0,0
USA,North America,United States,2020-02-19,15,0,0.286,0,0
USA,North America,United States,2020-02-20,15,0,0.143,0,0
USA,North America,United States,2020-02-21,16,1,0.143,0,0
USA,North America,United States,2020-02-22,35,19,2.857,0,0
USA,North America,United States,2020-02-23,35,0,2.857,0,0
USA,North America,United States,2020-02-24,35,0,2.857,0,0
USA,North America,United States,2020-02-25,53,18,5.429,0,0
USA,North America,United States,2020-02-26,53,0,5.429,0,0
USA,North America,United States,2020-02-27,59,6,6.286,0,0
USA,North America,United States,2020-02-28,60,1,6.286,0,0
USA,North America,United States,2020-02-29,66,6,4.429,0,0
USA,North America,United States,2020-03-01,69,3,4.857,1,1
USA,North America,United States,2020-03-02,89,20,7.714,2,1
USA,North America,United States,2020-03-03,103,14,7.143,6,4
USA,North America,United States,2020-03-04,125,22,10.286,9,3
USA,North America,United States,2020-03-05,159,34,14.286,11,2
USA,North America,United States,2020-03-06,233,74,24.714,12,1
USA,North America,United States,2020-03-07,338,105,38.857,14,2
USA,North America,United States,2020-03-08,433,95,52,17,3
USA,North America,United States,2020-03-09,554,121,66.429,21,4
USA,North America,United States,2020-03-10,754,200,93,26,5
USA,North America,United States,2020-03-11,1025,271,128.571,28,2
USA,North America,United States,2020-03-12,1312,287,164.714,30,2
USA,North America,United States,2020-03-13,1663,351,204.286,40,10
USA,North America,United States,2020-03-14,2174,511,262.286,47,7
USA,North America,United States,2020-03-15,2951,777,359.714,57,10
USA,North America,United States,2020-03-16,3774,823,460,69,12
USA,North America,United States,2020-03-17,4661,887,558.143,85,16
USA,North America,United States,2020-03-18,6427,1766,771.714,108,23
USA,North America,United States,2020-03-19,9415,2988,1157.571,150,42
USA,North America,United States,2020-03-20,14250,4835,1798.143,150,0
USA,North America,United States,2020-03-21,19624,5374,2492.857,260,110
USA,North America,United States,2020-03-22,26747,7123,3399.429,340,80
USA,North America,United States,2020-03-23,35206,8459,4490.286,471,131
USA,North America,United States,2020-03-24,46442,11236,5968.714,590,119
USA,North America,United States,2020-03-25,55231,8789,6972,801,211
USA,North America,United States,2020-03-26,69194,13963,8539.857,1050,249
USA,North America,United States,2020-03-27,85991,16797,10248.714,1296,246
USA,North America,United States,2020-03-28,104686,18695,12151.714,1707,411
USA,North America,United States,2020-03-29,124665,19979,13988.286,2191,484
USA,North America,United States,2020-03-30,143025,18360,15402.714,2509,318
USA,North America,United States,2020-03-31,164620,21595,16882.571,3170,661
USA,North America,United States,2020-04-01,189618,24998,19198.143,4079,909
USA,North America,United States,2020-04-02,216721,27103,21075.286,5138,1059
USA,North America,United States,2020-04-03,245540,28819,22792.714,6053,915
USA,North America,United States,2020-04-04,277965,32425,24754.143,7157,1104
USA,North America,United States,2020-04-05,312237,34272,26796,8501,1344
USA,North America,United States,2020-04-06,337635,25398,27801.429,9647,1146
USA,North America,United States,2020-04-07,368196,30561,29082.286,10989,1342
USA,North America,United States,2020-04-08,398809,30613,29884.429,12895,1906
USA,North America,United States,2020-04-09,432132,33323,30773,14817,1922
USA,North America,United States,2020-04-10,466033,33901,31499,16690,1873
USA,North America,United States,2020-04-11,501560,35527,31942.143,18777,2087
USA,North America,United States,2020-04-12,529951,28391,31102,20608,1831
USA,North America,United States,2020-04-13,557571,27620,31419.429,22108,1500
USA,North America,United States,2020-04-14,582594,25023,30628.286,23649,1541
USA,North America,United States,2020-04-15,609516,26922,30101,26057,2408
USA,North America,United States,2020-04-16,639664,30148,29647.429,30985,4928
USA,North America,United States,2020-04-17,671331,31667,29328.286,33284,2299
USA,North America,United States,2020-04-18,702164,30833,28657.714,37054,3770
USA,North America,United States,2020-04-19,735086,32922,29305,38910,1856
USA,North America,United States,2020-04-20,759687,24601,28873.714,40682,1772
USA,North America,United States,2020-04-21,787752,28065,29308.286,42539,1857
USA,North America,United States,2020-04-22,825041,37289,30789.286,45063,2524
USA,North America,United States,2020-04-23,842629,17588,28995,46784,1721
USA,North America,United States,2020-04-24,869172,26543,28263,49963,3179
USA,North America,United States,2020-04-25,890524,21352,26908.571,51017,1054
USA,North America,United States,2020-04-26,939053,48529,29138.143,53189,2172
USA,North America,United States,2020-04-27,965910,26857,29460.429,54876,1687
USA,North America,United States,2020-04-28,988451,22541,28671.286,56245,1369
USA,North America,United States,2020-04-29,1012583,24132,26791.714,58355,2110
USA,North America,United States,2020-04-30,1039909,27326,28182.857,60966,2611
USA,North America,United States,2020-05-01,1069826,29917,28664.857,63006,2040
USA,North America,United States,2020-05-02,1103781,33955,30465.286,65068,2062
USA,North America,United States,2020-05-03,1133069,29288,27716.571,66385,1317
USA,North America,United States,2020-05-04,1158041,24972,27447.286,67682,1297
USA,North America,United States,2020-05-05,1180634,22593,27454.714,68934,1252
USA,North America,United States,2020-05-06,1204475,23841,27413.143,71078,2144
USA,North America,United States,2020-05-07,1228603,24128,26956.286,73431,2353
