iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
CAN,12/31/2019,0,0,,0,0,,0,0,,0,0,
CAN,1/1/2020,0,0,,0,0,,0,0,,0,0,
CAN,1/2/2020,0,0,,0,0,,0,0,,0,0,
CAN,1/3/2020,0,0,,0,0,,0,0,,0,0,
CAN,1/4/2020,0,0,,0,0,,0,0,,0,0,
CAN,1/5/2020,0,0,,0,0,,0,0,,0,0,
CAN,1/6/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/7/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/8/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/9/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/10/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/11/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/12/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/13/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/14/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/15/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/16/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/17/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/18/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/19/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/20/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/21/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/23/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/24/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/25/2020,0,0,0,0,0,0,0,0,0,0,0,0
CAN,1/26/2020,1,1,0.143,0,0,0,0.026,0.026,0.004,0,0,0
CAN,1/27/2020,1,0,0.143,0,0,0,0.026,0,0.004,0,0,0
CAN,1/28/2020,2,1,0.286,0,0,0,0.053,0.026,0.008,0,0,0
CAN,1/29/2020,3,1,0.429,0,0,0,0.079,0.026,0.011,0,0,0
CAN,1/30/2020,3,0,0.429,0,0,0,0.079,0,0.011,0,0,0
CAN,1/31/2020,3,0,0.429,0,0,0,0.079,0,0.011,0,0,0
CAN,2/1/2020,4,1,0.571,0,0,0,0.106,0.026,0.015,0,0,0
CAN,2/2/2020,4,0,0.429,0,0,0,0.106,0,0.011,0,0,0
CAN,2/3/2020,4,0,0.429,0,0,0,0.106,0,0.011,0,0,0
CAN,2/4/2020,4,0,0.286,0,0,0,0.106,0,0.008,0,0,0
CAN,2/5/2020,5,1,0.286,0,0,0,0.132,0.026,0.008,0,0,0
CAN,2/6/2020,5,0,0.286,0,0,0,0.132,0,0.008,0,0,0
CAN,2/7/2020,7,2,0.571,0,0,0,0.185,0.053,0.015,0,0,0
CAN,2/8/2020,7,0,0.429,0,0,0,0.185,0,0.011,0,0,0
CAN,2/9/2020,7,0,0.429,0,0,0,0.185,0,0.011,0,0,0
CAN,2/10/2020,7,0,0.429,0,0,0,0.185,0,0.011,0,0,0
CAN,2/11/2020,7,0,0.429,0,0,0,0.185,0,0.011,0,0,0
CAN,2/12/2020,7,0,0.286,0,0,0,0.185,0,0.008,0,0,0
CAN,2/13/2020,7,0,0.286,0,0,0,0.185,0,0.008,0,0,0
CAN,2/14/2020,7,0,0,0,0,0,0.185,0,0,0,0,0
CAN,2/15/2020,8,1,0.143,0,0,0,0.212,0.026,0.004,0,0,0
CAN,2/16/2020,8,0,0.143,0,0,0,0.212,0,0.004,0,0,0
CAN,2/17/2020,8,0,0.143,0,0,0,0.212,0,0.004,0,0,0
CAN,2/18/2020,8,0,0.143,0,0,0,0.212,0,0.004,0,0,0
CAN,2/19/2020,8,0,0.143,0,0,0,0.212,0,0.004,0,0,0
CAN,2/20/2020,8,0,0.143,0,0,0,0.212,0,0.004,0,0,0
CAN,2/21/2020,9,1,0.286,0,0,0,0.238,0.026,0.008,0,0,0
CAN,2/22/2020,9,0,0.143,0,0,0,0.238,0,0.004,0,0,0
CAN,2/23/2020,9,0,0.143,0,0,0,0.238,0,0.004,0,0,0
CAN,2/24/2020,9,0,0.143,0,0,0,0.238,0,0.004,0,0,0
CAN,2/25/2020,11,2,0.429,0,0,0,0.291,0.053,0.011,0,0,0
CAN,2/26/2020,11,0,0.429,0,0,0,0.291,0,0.011,0,0,0
CAN,2/27/2020,12,1,0.571,0,0,0,0.318,0.026,0.015,0,0,0
CAN,2/28/2020,14,2,0.714,0,0,0,0.371,0.053,0.019,0,0,0
CAN,2/29/2020,16,2,1,0,0,0,0.424,0.053,0.026,0,0,0
CAN,3/1/2020,20,4,1.571,0,0,0,0.53,0.106,0.042,0,0,0
CAN,3/2/2020,24,4,2.143,0,0,0,0.636,0.106,0.057,0,0,0
CAN,3/3/2020,27,3,2.286,0,0,0,0.715,0.079,0.061,0,0,0
CAN,3/4/2020,30,3,2.714,0,0,0,0.795,0.079,0.072,0,0,0
CAN,3/5/2020,33,3,3,0,0,0,0.874,0.079,0.079,0,0,0
CAN,3/6/2020,45,12,4.429,0,0,0,1.192,0.318,0.117,0,0,0
CAN,3/7/2020,51,6,5,0,0,0,1.351,0.159,0.132,0,0,0
CAN,3/8/2020,57,6,5.286,0,0,0,1.51,0.159,0.14,0,0,0
CAN,3/9/2020,62,5,5.429,0,0,0,1.643,0.132,0.144,0,0,0
CAN,3/10/2020,77,15,7.143,1,1,0.143,2.04,0.397,0.189,0.026,0.026,0.004
CAN,3/11/2020,93,16,9,1,0,0.143,2.464,0.424,0.238,0.026,0,0.004
CAN,3/12/2020,103,10,10,1,0,0.143,2.729,0.265,0.265,0.026,0,0.004
CAN,3/13/2020,138,35,13.286,1,0,0.143,3.656,0.927,0.352,0.026,0,0.004
CAN,3/14/2020,176,38,17.857,1,0,0.143,4.663,1.007,0.473,0.026,0,0.004
CAN,3/15/2020,244,68,26.714,1,0,0.143,6.465,1.802,0.708,0.026,0,0.004
CAN,3/16/2020,304,60,34.571,1,0,0.143,8.055,1.59,0.916,0.026,0,0.004
CAN,3/17/2020,424,120,49.571,4,3,0.429,11.234,3.179,1.313,0.106,0.079,0.011
CAN,3/18/2020,569,145,68,8,4,1,15.076,3.842,1.802,0.212,0.106,0.026
CAN,3/19/2020,690,121,83.857,9,1,1.143,18.282,3.206,2.222,0.238,0.026,0.03
CAN,3/20/2020,846,156,101.143,10,1,1.286,22.415,4.133,2.68,0.265,0.026,0.034
CAN,3/21/2020,971,125,113.571,12,2,1.571,25.727,3.312,3.009,0.318,0.053,0.042
CAN,3/22/2020,1302,331,151.143,18,6,2.429,34.497,8.77,4.005,0.477,0.159,0.064
CAN,3/23/2020,1430,128,160.857,20,2,2.714,37.889,3.391,4.262,0.53,0.053,0.072
CAN,3/24/2020,1646,216,174.571,24,4,2.857,43.612,5.723,4.625,0.636,0.106,0.076
CAN,3/25/2020,1959,313,198.571,27,3,2.714,51.905,8.293,5.261,0.715,0.079,0.072
CAN,3/26/2020,3385,1426,385,35,8,3.714,89.688,37.783,10.201,0.927,0.212,0.098
CAN,3/27/2020,4018,633,453.143,39,4,4.143,106.459,16.772,12.006,1.033,0.106,0.11
CAN,3/28/2020,4675,657,529.143,53,14,5.857,123.867,17.408,14.02,1.404,0.371,0.155
CAN,3/29/2020,5386,711,583.429,60,7,6,142.705,18.838,15.458,1.59,0.185,0.159
CAN,3/30/2020,6255,869,689.286,61,1,5.857,165.73,23.025,18.263,1.616,0.026,0.155
CAN,3/31/2020,7424,1169,825.429,89,28,9.286,196.703,30.973,21.87,2.358,0.742,0.246
CAN,4/1/2020,8536,1112,939.571,96,7,9.857,226.166,29.463,24.894,2.544,0.185,0.261
CAN,4/2/2020,9595,1059,887.143,109,13,10.571,254.225,28.059,23.505,2.888,0.344,0.28
CAN,4/3/2020,11268,1673,1035.714,138,29,14.143,298.552,44.327,27.442,3.656,0.768,0.375
CAN,4/4/2020,12519,1251,1120.571,187,49,19.143,331.698,33.146,29.69,4.955,1.298,0.507
CAN,4/5/2020,13882,1363,1213.714,231,44,24.429,367.812,36.113,32.158,6.12,1.166,0.647
CAN,4/6/2020,15496,1614,1320.143,280,49,31.286,410.575,42.764,34.978,7.419,1.298,0.829
CAN,4/7/2020,16653,1157,1318.429,323,43,33.429,441.231,30.655,34.933,8.558,1.139,0.886
CAN,4/8/2020,17883,1230,1335.286,380,57,40.571,473.82,32.59,35.379,10.068,1.51,1.075
CAN,4/9/2020,19274,1391,1382.714,435,55,46.571,510.676,36.855,36.636,11.526,1.457,1.234
CAN,4/10/2020,20748,1474,1354.286,509,74,53,549.73,39.054,35.883,13.486,1.961,1.404
CAN,4/11/2020,22133,1385,1373.429,569,60,54.571,586.426,36.696,36.39,15.076,1.59,1.446
CAN,4/12/2020,23301,1168,1345.571,653,84,60.286,617.373,30.947,35.652,17.302,2.226,1.597
CAN,4/13/2020,24365,1064,1267,717,64,62.429,645.565,28.191,33.57,18.997,1.696,1.654
CAN,4/14/2020,25663,1298,1287.143,780,63,65.286,679.956,34.391,34.104,20.667,1.669,1.73
CAN,4/15/2020,27046,1383,1309,903,123,74.714,716.599,36.643,34.683,23.926,3.259,1.98
CAN,4/16/2020,28364,1318,1298.571,1010,107,82.143,751.52,34.921,34.406,26.761,2.835,2.176
CAN,4/17/2020,30081,1717,1333.286,1193,183,97.714,797.013,45.493,35.326,31.609,4.849,2.589
CAN,4/18/2020,31872,1791,1391.286,1309,116,105.714,844.467,47.454,36.863,34.683,3.073,2.801
CAN,4/19/2020,33341,1469,1434.286,1467,158,116.286,883.389,38.922,38.002,38.869,4.186,3.081
CAN,4/20/2020,34777,1436,1487.429,1580,113,123.286,921.436,38.048,39.41,41.863,2.994,3.267
CAN,4/21/2020,36823,2046,1594.286,1690,110,130,975.646,54.21,42.242,44.778,2.915,3.444
CAN,4/22/2020,38413,1590,1623.857,1834,144,133,1017.774,42.128,43.025,48.593,3.815,3.524
CAN,4/23/2020,40179,1766,1687.857,1974,140,137.714,1064.566,46.791,44.721,52.302,3.709,3.649
CAN,4/24/2020,42099,1920,1716.857,2146,172,136.143,1115.437,50.871,45.489,56.859,4.557,3.607
CAN,4/25/2020,43877,1778,1715,2302,156,141.857,1162.546,47.109,45.44,60.993,4.133,3.759
CAN,4/26/2020,45341,1464,1714.286,2465,163,142.571,1201.336,38.79,45.421,65.312,4.319,3.778
CAN,4/27/2020,46884,1543,1729.571,2560,95,140,1242.218,40.883,45.826,67.829,2.517,3.709
CAN,4/28/2020,48489,1605,1666.571,2707,147,145.286,1284.744,42.525,44.157,71.724,3.895,3.849
CAN,4/29/2020,50015,1526,1657.429,2859,152,146.429,1325.176,40.432,43.915,75.751,4.027,3.88
CAN,4/30/2020,51587,1572,1629.714,2996,137,146,1366.827,41.651,43.18,79.381,3.63,3.868
CAN,5/1/2020,53236,1649,1591,3184,188,148.286,1410.518,43.691,42.154,84.362,4.981,3.929
CAN,5/2/2020,55061,1825,1597.714,3391,207,155.571,1458.873,48.354,42.332,89.846,5.485,4.122
CAN,5/3/2020,56714,1653,1624.714,3566,175,157.286,1502.67,43.797,43.048,94.483,4.637,4.167
CAN,5/4/2020,59474,2760,1798.571,3682,116,160.286,1575.798,73.128,47.654,97.557,3.073,4.247
CAN,5/5/2020,60772,1298,1754.714,3854,172,163.857,1610.189,34.391,46.492,102.114,4.557,4.341
CAN,5/6/2020,62046,1274,1718.714,4043,189,169.143,1643.944,33.755,45.538,107.122,5.008,4.482
CAN,5/7/2020,63496,1450,1701.286,4232,189,176.571,1682.363,38.419,45.077,112.129,5.008,4.678
CAN,5/8/2020,64922,1426,1669.429,4408,176,174.857,1720.145,37.783,44.232,116.792,4.663,4.633
CAN,5/9/2020,66434,1512,1624.714,4569,161,168.286,1760.207,40.061,43.048,121.058,4.266,4.459
